Grid_ID,Original_Var_Explained,Robust_Var_Explained,Improvement
G11,44.28,74.16,29.88
G12,30.45,46.83,16.38
G13,35.49,58.5,23.01
G14,44.28,57.74,13.47
G21,33.27,45.08,11.81
G22,92.09,100.0,7.91
G23,44.21,63.64,19.43
G24,24.92,32.12,7.21
G31,58.75,95.65,36.9
G32,44.26,66.15,21.89
G33,41.54,70.11,28.57
G34,54.49,74.4,19.91
G41,51.1,94.77,43.67
G42,51.04,92.92,41.88
G43,63.87,90.97,27.1
G44,84.95,97.47,12.52
